"H40-BPAR-6","CASEID","FAM-1B","FAM-2A","HGC-MOTHER","HGC-FATHER","FAM-28A","R_REL-1_COL","R_REL-3","Q9-72","Q3-3","Q3-4","MIL-6","Q13-5","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","URBAN-RURAL","MARSTAT-KEY","FAMSIZE","TNFI_TRUNC","POVSTATUS","DELIN-1","DELIN-3","DELIN-4","DELIN-5","DELIN-6","DELIN-7","DELIN-8","DELIN-9","DELIN-10","DELIN-11","DELIN-12","DELIN-13","DELIN-14","DELIN-15","DELIN-18","POLICE-1","POLICE-6","POLICE-7","Q12-4","DRUG-22","DRUG-26","DRUG-32"
0,100,15,1,-2,-2,2,9,6,0,9,8,-4,-4,5,3,2,1,0,2,5904,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-4,-4,6,-5,-5,-5
0,101,20,1,10,6,1,7,2,0,15,14,0,5300,1,3,1,1,0,5,15000,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0
0,102,14,1,10,5,1,7,5,0,9,8,-4,-4,5,3,2,1,0,5,15000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,0,0,0
0,103,20,1,11,-3,2,7,2,0,15,14,0,2000,1,3,1,1,0,3,16400,0,-4,-4,0,0,0,0,0,0,0,0,6,3,0,0,0,0,-4,-4,5,0,0,0
1,104,20,1,12,-2,0,7,1,0,12,12,0,7000,5,3,2,1,0,3,-1,-3,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,-4,0,0,0
1,105,20,1,12,12,0,7,1,0,13,12,0,12000,6,3,2,1,0,3,28000,0,-4,-4,1,1,0,2,0,0,3,1,4,2,0,0,0,1,0,0,2,1,1,0
1,106,18,1,12,9,1,7,5,0,12,11,0,2800,1,3,1,1,0,3,11000,0,-4,-4,0,1,3,0,0,0,4,4,5,0,0,0,0,0,-4,-4,-4,0,0,0
1,107,17,1,11,9,2,5,5,0,11,10,0,-4,1,3,1,1,0,5,25000,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-4,-4,1,0,0,0
1,108,20,1,11,8,2,9,3,0,15,14,0,2800,1,3,1,1,0,5,25000,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,0,0,0
-4,109,16,1,-3,-3,2,3,2,0,11,-3,-4,-4,5,3,2,1,0,4,18000,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,-4,-4,0,1,0,0
